stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
0.8410042,0.0734775,0.20156798,0.0452444,-46.25,10.0,-2.7224534,0.07500000158324838,-47.33625,50.0,0.052499998826533556
0.8408294,0.0725874,0.20162396,0.044229336,-45.56875,20.0,-4.600521,0.08750000270083547,-46.21375,100.0,0.072500005
0.8405079,0.07359404,0.20167255,0.04670106,-45.856247,30.0,-6.3800488,0.08125000121071935,-47.252502,150.0,0.054999999003484845
0.8405094,0.07498372,0.20179863,0.04850675,-46.025,40.0,-8.317415,0.07500000158324838,-45.97625,200.0,0.0775
