stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
0.81879705,0.16913195,0.18530546,0.09578054,-30.21875,500.0,-10.178608,0.64374995,-43.9075,2500.0,0.175
0.81921643,0.16910978,0.18541908,0.09589553,-34.45,510.0,-12.80723,0.56875,-44.885002,2550.0,0.16875
0.8195052,0.16893095,0.18550119,0.095970795,-34.9125,520.0,-12.359051,0.50625,-44.660004,2600.0,0.13999999
0.81976706,0.16891468,0.18558,0.09614877,-32.168747,530.0,-11.735315,0.61875,-44.571247,2650.0,0.15625
0.82009095,0.16875893,0.18564376,0.096389964,-30.98125,540.0,-10.731291,0.6125,-45.11625,2700.0,0.14625001
0.8203457,0.16866802,0.18570112,0.09656365,-32.20625,550.0,-11.934865,0.58125,-44.835,2750.0,0.155
0.8205754,0.1685887,0.18571177,0.096811436,-33.55,560.0,-11.811107,0.54375,-44.8925,2800.0,0.1375
0.82082367,0.1686282,0.18575186,0.09699318,-33.71875,570.0,-13.233816,0.50625,-45.4975,2850.0,0.1375
0.8210544,0.16858323,0.18575878,0.097158596,-33.2,580.0,-12.366983,0.56875,-45.254997,2900.0,0.118750006
0.82137966,0.16855381,0.1858,0.09726377,-33.09375,590.0,-13.802534,0.475,-44.79375,2950.0,0.14625001
0.8216028,0.16853957,0.18583754,0.09732116,-34.15625,600.0,-11.842454,0.60625005,-44.82875,3000.0,0.14625001
0.8217931,0.16864647,0.18585683,0.097466156,-34.8875,610.0,-13.210793,0.5625,-45.25875,3050.0,0.12375
0.8219697,0.16894625,0.18587297,0.09769001,-35.243748,620.0,-11.663919,0.58125,-45.55875,3100.0,0.120000005
0.8222391,0.16909014,0.18592292,0.09794292,-32.69375,630.0,-11.055903,0.63125,-44.725,3150.0,0.15
0.82253975,0.16931592,0.18597125,0.09816058,-31.96875,640.0,-11.498318,0.60625005,-45.40125,3200.0,0.14375001
0.822802,0.1694326,0.18601114,0.09833579,-34.65625,650.0,-11.912743,0.5625,-45.59375,3250.0,0.13
0.8230111,0.16957085,0.1860543,0.09856929,-33.53125,660.0,-12.036375,0.61875,-44.98375,3300.0,0.13875
0.8231428,0.16976617,0.18609133,0.09877815,-34.35625,670.0,-11.950709,0.5875,-45.748753,3350.0,0.12125
0.8232114,0.1699778,0.18610476,0.09903049,-35.5625,680.0,-10.804774,0.51875,-45.30625,3400.0,0.12625
0.8232765,0.17019622,0.18614645,0.09923592,-37.45625,690.0,-11.234039,0.54375005,-45.7575,3450.0,0.10124999
0.8234317,0.17043324,0.18617792,0.09940397,-34.9875,700.0,-13.370899,0.43125,-45.82375,3500.0,0.1125
0.82354325,0.17056751,0.18622832,0.09969252,-37.193752,710.0,-11.940165,0.4875,-45.8675,3550.0,0.12125
0.82365704,0.17081253,0.18624918,0.099944875,-32.69375,720.0,-10.157154,0.61875,-45.688747,3600.0,0.12625
0.82385343,0.17097394,0.18630578,0.100120455,-34.5,730.0,-10.324626,0.58124995,-46.31375,3650.0,0.105000004
0.82396585,0.17118579,0.18632731,0.10033651,-36.4,740.0,-11.558503,0.50625,-45.848747,3700.0,0.114999995
0.82406235,0.17141704,0.18635577,0.10063196,-35.55625,750.0,-10.776785,0.53125,-45.97875,3750.0,0.10375
0.8241946,0.17162655,0.18640302,0.10079996,-31.7,760.0,-10.775572,0.59375,-45.980003,3800.0,0.11500001
0.8244574,0.17166309,0.18647964,0.1009166,-37.162502,770.0,-12.127754,0.41250002,-45.817497,3850.0,0.114999995
0.8246689,0.17173214,0.18653952,0.10099948,-34.95625,780.0,-12.384226,0.50625,-46.05625,3900.0,0.11125
0.82487017,0.17185211,0.18656702,0.101162285,-35.949997,790.0,-12.863373,0.42499998,-45.77,3950.0,0.121249996
0.8250459,0.17197025,0.18660912,0.101290025,-35.79375,800.0,-11.627197,0.57500005,-45.68,4000.0,0.12
