stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
0.8385329,0.07253163,0.20136638,0.04419448,-47.35625,10.0,-2.6551108,0.050000001676380634,-47.045,50.0,0.05749999778345227
0.83921176,0.07061977,0.20145348,0.0436965,-45.9125,20.0,-4.450188,0.08750000270083547,-46.68,100.0,0.067499995
0.8398273,0.07198823,0.20170207,0.046235386,-45.34375,30.0,-6.1685295,0.09375000186264515,-46.9025,150.0,0.06125
0.8399904,0.07141528,0.20167789,0.046304777,-46.0375,40.0,-8.007947,0.07500000111758709,-46.055,200.0,0.0775
